t,K_B,K_B_prony,K_C,K_C_prony
0.143358396,0.0003293129952,0.0001515786065,-0.004014614756,-0.00387891683
0.1443609023,0.0003132826807,0.0001420788055,-0.003878316352,-0.003745160815
0.1453634085,0.0002981854382,0.00013317652,-0.003746906539,-0.003616158234
0.1463659148,0.0002858440588,0.0001248339818,-0.00362145782,-0.00349173145
0.1473684211,0.0002753957202,0.0001170158261,-0.00350125032,-0.003371709992
0.1483709273,0.0002643776831,0.000109688937,-0.003384495055,-0.003255930239
0.1493734336,0.0002518284232,0.0001028223036,-0.003270410811,-0.003144235111
0.1503759398,0.0002394466985,9.638688457e-05,-0.003160003896,-0.003036473782
0.1513784461,0.0002293654648,9.035548234e-05,-0.003054579587,-0.002932501406
0.1523809524,0.0002214071,8.470262496e-05,-0.002953901841,-0.002832178854
0.1533834586,0.0002133059605,7.940445574e-05,-0.002856338342,-0.002735372465
0.1543859649,0.0002035770774,7.443863003e-05,-0.002760780656,-0.002641953813
0.1553884712,0.0001933594862,6.978421861e-05,-0.002667881732,-0.002551799479
0.1563909774,0.0001849103148,6.542161742e-05,-0.002579050336,-0.002464790835
0.1573934837,0.0001787022562,6.133246297e-05,-0.00249450616,-0.002380813846
0.15839599,0.0001728223959,5.749955332e-05,-0.002412873357,-0.002299758871
0.1593984962,0.0001654050695,5.39067741e-05,-0.002332807935,-0.00222152048
0.1604010025,0.0001569751494,5.053902925e-05,-0.002254569314,-0.002145997276
0.1614035088,0.000149731663,4.738217624e-05,-0.002179543892,-0.002073091729
0.162406015,0.0001447184882,4.44229655e-05,-0.002108350254,-0.002002710013
0.1634085213,0.0001404962628,4.164898362e-05,-0.002039946338,-0.001934761857
0.1644110276,0.0001349809644,3.90486003e-05,-0.001972858099,-0.001869160394
0.1654135338,0.0001280785736,3.661091862e-05,-0.001906945288,-0.001805822026
0.1664160401,0.0001217645155,3.432572853e-05,-0.001843458087,-0.001744666291
0.1674185464,0.0001175380848,3.218346334e-05,-0.001783333358,-0.00168561573
0.1684210526,0.0001145121516,3.017515889e-05,-0.001725912523,-0.001628595776
0.1694235589,0.0001105537405,2.829241543e-05,-0.001669702268,-0.001573534627
0.1704260652,0.0001049922211,2.652736192e-05,-0.001614188609,-0.001520363144
0.1714285714,9.944100787e-05,2.487262251e-05,-0.001560390465,-0.001469014742
0.1724310777,9.571244121e-05,2.332128529e-05,-0.001509465118,-0.001419425287
0.173433584,9.35052713e-05,2.186687295e-05,-0.001461157506,-0.001371533002
0.1744360902,9.08012406e-05,2.05033153e-05,-0.001414062436,-0.001325278373
0.1754385965,8.643617008e-05,1.922492357e-05,-0.001367345904,-0.00128060406
0.1764411028,8.155823996e-05,1.802636635e-05,-0.001321724571,-0.001237454814
0.177443609,7.813592673e-05,1.690264702e-05,-0.001278469027,-0.001195777394
