y1,Re_U_homog_a_0e,Re_U_homog_a_1e,Re_U_homog_a_2e,Re_U_reference
0.9722222222,0.07432412684,,,0.164771064
1,0.06643871051,,,0.1590093583
1.027777778,0.05854964785,0.1863298835,,0.1528653365
1.060555556,0.04923735813,0.1757956105,,0.1451456877
1.099233333,0.03824674247,0.1633329728,,0.1354390708
1.144873111,0.02527870805,0.1485866224,,0.1232697706
1.198728049,0.009983963549,0.1311368495,,0.1081135804
1.262276875,-0.008043019343,0.1104896703,,0.08941235655
1.337264491,-0.0292689622,0.08606696225,,0.06657662743
1.425749877,-0.05422399194,0.05719812032,,0.03897481005
1.530162633,-0.0834982057,0.02311601042,,0.005917660449
1.653369684,-0.117727656,-0.01703780057,,-0.03335065106
1.798754005,-0.1575615668,-0.06418989651,,-0.07964319452
1.970307504,-0.2035974896,-0.1192793782,,-0.1337861418
2.172740632,-0.2562633836,-0.1831458686,,-0.1965133802
2.411611724,-0.3156145039,-0.2563232936,,-0.2682606585
2.693479612,-0.3809984249,-0.3386819997,,-0.348804284
3.02608372,-0.4505258341,-0.4288378199,-0.2718006676,-0.4366694266
3.418556567,-0.5202766948,-0.5232261602,-0.4027606794,-0.5282147068
3.881674527,-0.5831949474,-0.6147463594,-0.5411407812,-0.6163082725
4.42815372,-0.6277353908,-0.6909772934,-0.6754304145,-0.6886085997
5.072999167,-0.6366347724,-0.7322799238,-0.7850336525,-0.7257783319
5.833916795,-0.5868696325,-0.7108714189,-0.8374316713,-0.7007122616
6.731799596,-0.4531342157,-0.5934842074,-0.7882127857,-0.581320013
7.791301301,-0.2188839408,-0.3525408122,-0.5898398001,-0.3415331545
8,-0.1667387966,-0.2958559308,-0.5359985032,-0.2854742247
